3025
abcdefg	h	i
abcdefh	g	i
abcdefi	g	h
abcdegh	f	i
abcdegi	f	h
abcdehi	f	g
abcdfgh	e	i
abcdfgi	e	h
abcdfhi	e	g
abcdghi	e	f
abcefgh	d	i
abcefgi	d	h
abcefhi	d	g
abceghi	d	f
abcfghi	d	e
abdefgh	c	i
abdefgi	c	h
abdefhi	c	g
abdeghi	c	f
abdfghi	c	e
abefghi	c	d
acdefgh	b	i
acdefgi	b	h
acdefhi	b	g
acdeghi	b	f
acdfghi	b	e
acefghi	b	d
adefghi	b	c
a	bcdefgh	i
a	bcdefgi	h
a	bcdefhi	g
a	bcdeghi	f
a	bcdfghi	e
a	bcefghi	d
a	bdefghi	c
a	b	cdefghi
abcdef	gh	i
abcdef	gi	h
abcdef	g	hi
abcdeg	fh	i
abcdeg	fi	h
abcdeg	f	hi
abcdeh	fg	i
abcdeh	fi	g
abcdeh	f	gi
abcdei	fg	h
abcdei	fh	g
abcdei	f	gh
abcdfg	eh	i
abcdfg	ei	h
abcdfg	e	hi
abcdfh	eg	i
abcdfh	ei	g
abcdfh	e	gi
abcdfi	eg	h
abcdfi	eh	g
abcdfi	e	gh
abcdgh	ef	i
abcdgh	ei	f
abcdgh	e	fi
abcdgi	ef	h
abcdgi	eh	f
abcdgi	e	fh
abcdhi	ef	g
abcdhi	eg	f
abcdhi	e	fg
abcefg	dh	i
abcefg	di	h
abcefg	d	hi
abcefh	dg	i
abcefh	di	g
abcefh	d	gi
abcefi	dg	h
abcefi	dh	g
abcefi	d	gh
abcegh	df	i
abcegh	di	f
abcegh	d	fi
abcegi	df	h
abcegi	dh	f
abcegi	d	fh
abcehi	df	g
abcehi	dg	f
abcehi	d	fg
abcfgh	de	i
abcfgh	di	e
abcfgh	d	ei
abcfgi	de	h
abcfgi	dh	e
abcfgi	d	eh
abcfhi	de	g
abcfhi	dg	e
abcfhi	d	eg
abcghi	de	f
abcghi	df	e
abcghi	d	ef
abdefg	ch	i
abdefg	ci	h
abdefg	c	hi
abdefh	cg	i
abdefh	ci	g
abdefh	c	gi
abdefi	cg	h
abdefi	ch	g
abdefi	c	gh
abdegh	cf	i
abdegh	ci	f
abdegh	c	fi
abdegi	cf	h
abdegi	ch	f
abdegi	c	fh
abdehi	cf	g
abdehi	cg	f
abdehi	c	fg
abdfgh	ce	i
abdfgh	ci	e
abdfgh	c	ei
abdfgi	ce	h
abdfgi	ch	e
abdfgi	c	eh
abdfhi	ce	g
abdfhi	cg	e
abdfhi	c	eg
abdghi	ce	f
abdghi	cf	e
abdghi	c	ef
abefgh	cd	i
abefgh	ci	d
abefgh	c	di
abefgi	cd	h
abefgi	ch	d
abefgi	c	dh
abefhi	cd	g
abefhi	cg	d
abefhi	c	dg
abeghi	cd	f
abeghi	cf	d
abeghi	c	df
abfghi	cd	e
abfghi	ce	d
